"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.662551612E2,6.502684871E1,2.548680061E1,5.448551219E0,7.371814515E-1,2.306368262E2,3.056957333E0,3.000000000E0
1.672551481E2,6.502684068E1,2.548676508E1,5.134083297E0,8.549829986E-1,2.505607359E2,3.077149831E0,3.000000000E0
1.682551349E2,6.502684796E1,2.548672668E1,3.482140461E0,2.106855514E0,NaN,3.054681204E0,3.000000000E0
1.692551227E2,6.502684344E1,2.548666716E1,3.102950227E0,1.589556114E0,2.755335794E2,3.184870626E0,3.054863504E0
1.702551109E2,6.502683743E1,2.548662439E1,2.156181579E0,1.782996571E0,2.649814811E2,3.220183767E0,3.461046208E0
1.712550991E2,6.502683494E1,2.548658135E1,2.004698604E0,1.748852350E0,2.644437294E2,3.439545516E0,3.827745206E0
1.722550861E2,6.502683469E1,2.548656950E1,1.969478698E0,2.361562172E0,NaN,3.550321479E0,3.729345708E0
1.732550733E2,6.502683569E1,2.548648924E1,3.225130741E0,1.745678090E0,2.679472149E2,3.663228894E0,4.093093130E0
1.742550614E2,6.502684267E1,2.548643466E1,4.100552259E0,1.774436947E0,2.751070311E2,3.719101049E0,4.457566334E0
1.752550484E2,6.502685314E1,2.548639878E1,3.779284053E0,1.632397987E0,2.870276018E2,3.750931112E0,4.377264698E0
1.762550372E2,6.502686129E1,2.548635160E1,3.402334851E0,1.683438022E0,2.911663059E2,3.837903233E0,4.302372109E0
1.772550241E2,6.502685553E1,2.548628802E1,5.679510918E0,1.422989583E0,2.762275164E2,4.139292973E0,4.718081343E0
1.782550118E2,6.502685772E1,2.548626366E1,4.261678630E0,1.297947949E0,2.784605460E2,4.139292903E0,4.556946180E0
1.792549988E2,6.502685465E1,2.548608275E1,1.433983912E1,1.787054526E0,2.693536226E2,4.985689760E0,4.868408795E0
1.802549864E2,6.502685412E1,2.548601705E1,1.542273166E1,2.073642342E0,2.734798154E2,6.432287397E0,6.395999620E0
1.812549732E2,6.502685499E1,2.548596674E1,1.579525224E1,2.057814499E0,2.765149868E2,6.161571627E0,6.011140259E0
1.822549614E2,6.502685354E1,2.548591956E1,1.615185415E1,2.027882407E0,2.750815418E2,6.564688034E0,6.093553947E0
1.832549491E2,6.502683554E1,2.548589617E1,1.541748571E1,1.457890536E0,2.442854953E2,6.478589736E0,5.934100771E0
1.842549357E2,6.502680346E1,2.548589010E1,1.495135645E1,1.591752531E0,1.959142111E2,6.347689565E0,5.856483395E0
1.852549235E2,6.502676988E1,2.548588316E1,1.346826029E1,2.064946430E0,1.912866500E2,6.226277985E0,5.646459033E0
1.862549107E2,6.502674770E1,2.548588813E1,1.176197623E1,1.940105405E0,1.837237280E2,6.357149621E0,5.800794624E0
1.872548984E2,6.502672455E1,2.548588342E1,1.102066322E1,2.018060058E0,1.784360729E2,6.480964542E0,5.912400232E0
1.882548858E2,6.502670117E1,2.548587173E1,1.055423291E1,2.026760711E0,1.739421708E2,6.739977730E0,6.072762539E0
1.892548733E2,6.502667490E1,2.548586252E1,1.069999029E1,2.001008640E0,1.758739976E2,6.589378255E0,5.867044436E0
1.902548612E2,6.502665114E1,2.548588054E1,9.916951414E0,2.044943818E0,1.756828571E2,6.468644581E0,5.697160907E0
1.912548484E2,6.502661973E1,2.548588858E1,1.013658019E1,2.118216456E0,1.776747779E2,6.488894997E0,5.656664810E0
1.922548355E2,6.502660089E1,2.548588927E1,9.705505310E0,2.017220792E0,1.844128181E2,6.461076383E0,5.641833451E0
1.932548251E2,6.502658560E1,2.548587192E1,9.997275228E0,1.665077583E0,2.055549292E2,6.431440645E0,5.865207811E0
1.942548094E2,6.502657584E1,2.548583393E1,1.056736077E1,1.258371303E0,2.438673056E2,6.489488936E0,6.073247624E0
1.952547975E2,6.502657639E1,2.548580121E1,1.114743817E1,1.191187634E0,2.739184054E2,6.479224886E0,6.152365848E0
1.962547841E2,6.502658053E1,2.548574531E1,1.255403775E1,1.597785661E0,2.802882818E2,6.776096396E0,6.428206250E0
1.972547719E2,6.502658401E1,2.548569943E1,1.241572424E1,1.740781663E0,2.709114401E2,6.911159717E0,6.777765409E0
1.982547590E2,6.502658085E1,2.548564864E1,1.246931733E1,1.770831445E0,2.639273162E2,6.950690924E0,6.993837283E0
1.992547468E2,6.502658442E1,2.548560301E1,1.309080866E1,1.455516372E0,2.605595129E2,7.180588489E0,7.151343523E0
2.002547342E2,6.502659213E1,2.548554359E1,1.433549352E1,1.766205820E0,2.681692862E2,7.313560781E0,7.308276268E0
2.012547214E2,6.502660090E1,2.548548344E1,1.532121211E1,1.928944805E0,2.725399957E2,7.447363031E0,7.269804231E0
2.022547113E2,6.502661165E1,2.548542468E1,1.409918568E1,1.951395921E0,2.672198628E2,7.634331702E0,7.416691093E0
2.032546955E2,6.502661626E1,2.548536217E1,1.429528290E1,1.939315959E0,2.778781999E2,7.786777097E0,7.381780349E0
2.042546860E2,6.502662961E1,2.548530131E1,1.420659988E1,1.984089559E0,2.763365056E2,7.869006423E0,7.157778547E0
2.052546706E2,6.502663152E1,2.548522829E1,1.449439889E1,2.026509618E0,2.737807261E2,7.811591592E0,6.985887985E0
2.062546571E2,6.502663662E1,2.548516126E1,1.510259127E1,1.914585074E0,2.758257897E2,7.775718739E0,6.834671267E0
2.072546450E2,6.502663431E1,2.548510605E1,1.529785047E1,1.653152202E0,2.745562128E2,7.759026444E0,6.864043014E0
2.082546327E2,6.502662869E1,2.548504592E1,1.563132111E1,2.091564383E0,2.647660329E2,7.872645103E0,7.155590430E0
2.092546194E2,6.502660349E1,2.548500282E1,1.507040580E1,2.003149505E0,2.361031111E2,8.055031518E0,7.378413930E0
2.102546066E2,6.502656798E1,2.548498953E1,1.373371601E1,2.170254314E0,2.062295550E2,8.322633131E0,7.606285868E0
